model,fold,epoch,train_loss,val_loss,val_auc
lfp_transformer,0,0,0.009589,0.004080,0.9980
lfp_transformer,0,1,0.003219,0.021985,0.9927
lfp_transformer,0,2,0.002847,0.002237,0.9988
lfp_transformer,0,3,0.002486,0.002310,0.9987
lfp_transformer,0,4,0.002351,0.002438,0.9988
lfp_transformer,0,5,0.002081,0.002078,0.9989
lfp_transformer,0,6,0.002325,0.002145,0.9989
lfp_transformer,0,7,0.002409,0.002131,0.9989
lfp_transformer,0,8,0.002008,0.002106,0.9989
lfp_transformer,0,9,0.001854,0.004341,0.9987
lfp_transformer,0,10,0.002164,0.002201,0.9989
lfp_transformer,0,11,0.002222,0.002344,0.9988
lfp_transformer,0,12,0.001873,0.002326,0.9989
lfp_transformer,0,13,0.002075,0.002436,0.9987
lfp_transformer,0,14,0.001868,0.002231,0.9988
lfp_transformer,0,15,0.001971,0.002847,0.9985
lfp_transformer,0,16,0.002494,0.002093,0.9988
lfp_transformer,0,17,0.001850,0.002167,0.9989
lfp_transformer,0,18,0.001969,0.002127,0.9989
lfp_transformer,0,19,0.001889,0.002111,0.9988
lfp_transformer,0,20,0.001810,0.002257,0.9989
lfp_transformer,1,0,0.010838,0.003462,0.9985
lfp_transformer,1,1,0.003586,0.002691,0.9986
lfp_transformer,1,2,0.002837,0.002689,0.9984
lfp_transformer,1,3,0.003083,0.002701,0.9986
lfp_transformer,1,4,0.002254,0.002149,0.9989
lfp_transformer,1,5,0.002065,0.002254,0.9986
lfp_transformer,1,6,0.002132,0.002119,0.9990
lfp_transformer,1,7,0.001909,0.002287,0.9989
lfp_transformer,1,8,0.001956,0.002202,0.9988
lfp_transformer,1,9,0.002520,0.003133,0.9979
lfp_transformer,1,10,0.002110,0.002155,0.9988
lfp_transformer,1,11,0.002466,0.002286,0.9987
lfp_transformer,1,12,0.001978,0.002147,0.9988
lfp_transformer,1,13,0.001913,0.002328,0.9989
lfp_transformer,1,14,0.001822,0.002065,0.9989
lfp_transformer,1,15,0.001801,0.002083,0.9990
lfp_transformer,1,16,0.001846,0.002110,0.9990
lfp_transformer,1,17,0.001801,0.002113,0.9990
lfp_transformer,1,18,0.001890,0.002157,0.9989
lfp_transformer,1,19,0.001731,0.002130,0.9990
lfp_transformer,1,20,0.001930,0.002050,0.9990
lfp_transformer,1,21,0.001673,0.002348,0.9989
lfp_transformer,1,22,0.001657,0.002094,0.9991
lfp_transformer,1,23,0.001552,0.002610,0.9991
lfp_transformer,1,24,0.001615,0.002315,0.9991
lfp_transformer,1,25,0.001493,0.002667,0.9991
lfp_transformer,1,26,0.001789,0.002240,0.9992
lfp_transformer,1,27,0.001354,0.002253,0.9992
lfp_transformer,1,28,0.001345,0.001931,0.9993
lfp_transformer,1,29,0.001167,0.002633,0.9993
lfp_transformer,1,30,0.001231,0.002436,0.9993
lfp_transformer,1,31,0.001053,0.005099,0.9986
lfp_transformer,1,32,0.001099,0.002556,0.9993
lfp_transformer,1,33,0.000962,0.002833,0.9993
lfp_transformer,1,34,0.000877,0.002736,0.9994
lfp_transformer,1,35,0.000905,0.002869,0.9994
lfp_transformer,1,36,0.000812,0.002142,0.9995
lfp_transformer,1,37,0.000733,0.002815,0.9995
lfp_transformer,1,38,0.000740,0.002924,0.9994
lfp_transformer,1,39,0.000654,0.002981,0.9994
lfp_transformer,1,40,0.000536,0.003159,0.9995
lfp_transformer,1,41,0.000508,0.003163,0.9995
lfp_transformer,1,42,0.000479,0.003067,0.9995
lfp_transformer,1,43,0.000567,0.003342,0.9995
lfp_transformer,1,44,0.000409,0.003305,0.9995
lfp_transformer,1,45,0.000461,0.003232,0.9995
lfp_transformer,1,46,0.000439,0.003202,0.9995
lfp_transformer,1,47,0.000423,0.003225,0.9995
lfp_transformer,1,48,0.000443,0.003237,0.9995
lfp_transformer,1,49,0.000472,0.003242,0.9995
lfp_transformer,1,50,0.000380,0.003242,0.9995
lfp_transformer,1,51,0.000422,0.003245,0.9995
lfp_transformer,1,52,0.000376,0.003250,0.9995
lfp_transformer,1,53,0.000449,0.003225,0.9995
lfp_transformer,1,54,0.000379,0.003305,0.9995
lfp_transformer,1,55,0.000445,0.003398,0.9995
lfp_transformer,1,56,0.000465,0.003049,0.9995
lfp_transformer,1,57,0.000391,0.003513,0.9995
lfp_transformer,1,58,0.000499,0.003171,0.9995
lfp_transformer,1,59,0.000434,0.003281,0.9995
lfp_transformer,1,60,0.000481,0.003486,0.9995
lfp_transformer,1,61,0.000438,0.003510,0.9995
lfp_transformer,1,62,0.000478,0.003438,0.9995
lfp_transformer,1,63,0.000519,0.003316,0.9996
lfp_transformer,1,64,0.000509,0.003175,0.9995
lfp_transformer,1,65,0.000499,0.003947,0.9994
lfp_transformer,1,66,0.000438,0.003524,0.9995
lfp_transformer,1,67,0.000586,0.003022,0.9995
lfp_transformer,1,68,0.000521,0.002697,0.9995
lfp_transformer,1,69,0.000580,0.003849,0.9993
lfp_transformer,1,70,0.000592,0.003126,0.9995
lfp_transformer,1,71,0.000618,0.003122,0.9995
lfp_transformer,1,72,0.000761,0.002982,0.9995
lfp_transformer,1,73,0.000610,0.002664,0.9996
lfp_transformer,1,74,0.000523,0.002631,0.9996
lfp_transformer,1,75,0.000738,0.003054,0.9994
lfp_transformer,1,76,0.000683,0.002462,0.9995
lfp_transformer,1,77,0.000729,0.001747,0.9996
lfp_transformer,1,78,0.000513,0.002547,0.9996
lfp_transformer,1,79,0.000530,0.003131,0.9993
lfp_transformer,1,80,0.000835,0.003166,0.9995
lfp_transformer,1,81,0.000627,0.002006,0.9996
lfp_transformer,1,82,0.000487,0.002761,0.9994
lfp_transformer,1,83,0.000589,0.003555,0.9996
lfp_transformer,1,84,0.000800,0.002492,0.9995
lfp_transformer,1,85,0.000855,0.002156,0.9995
lfp_transformer,1,86,0.000494,0.004230,0.9995
lfp_transformer,1,87,0.001107,0.002615,0.9994
lfp_transformer,1,88,0.000727,0.003004,0.9995
lfp_transformer,1,89,0.000610,0.002422,0.9996
lfp_transformer,1,90,0.000624,0.003924,0.9995
lfp_transformer,1,91,0.000642,0.006837,0.9995
lfp_transformer,1,92,0.000652,0.002597,0.9995
lfp_transformer,1,93,0.001577,0.002527,0.9994
lfp_transformer,2,0,0.009971,0.003230,0.9981
lfp_transformer,2,1,0.003239,0.002783,0.9984
lfp_transformer,2,2,0.002569,0.002508,0.9986
lfp_transformer,2,3,0.002390,0.002354,0.9987
lfp_transformer,2,4,0.002091,0.002573,0.9987
lfp_transformer,2,5,0.002569,0.002337,0.9986
lfp_transformer,2,6,0.002177,0.002382,0.9984
lfp_transformer,2,7,0.001960,0.002337,0.9988
lfp_transformer,2,8,0.001938,0.002579,0.9983
lfp_transformer,2,9,0.001965,0.002321,0.9985
lfp_transformer,2,10,0.002299,0.002273,0.9986
lfp_transformer,2,11,0.001793,0.005802,0.9982
lfp_transformer,2,12,0.001868,0.002246,0.9988
lfp_transformer,2,13,0.001916,0.002266,0.9984
lfp_transformer,2,14,0.002147,0.002774,0.9987
lfp_transformer,2,15,0.001829,0.002345,0.9985
lfp_transformer,2,16,0.002364,0.002268,0.9988
lfp_transformer,2,17,0.001805,0.002273,0.9985
lfp_transformer,2,18,0.001685,0.002640,0.9985
lfp_transformer,2,19,0.001753,0.002351,0.9985
lfp_transformer,2,20,0.001774,0.002243,0.9986
lfp_transformer,2,21,0.001770,0.002804,0.9985
lfp_transformer,2,22,0.001762,0.002671,0.9985
lfp_transformer,3,0,0.011028,0.002957,0.9984
lfp_transformer,3,1,0.003775,0.002937,0.9982
lfp_transformer,3,2,0.002840,0.002903,0.9983
lfp_transformer,3,3,0.002180,0.002155,0.9991
lfp_transformer,3,4,0.002788,0.002280,0.9986
lfp_transformer,3,5,0.002445,0.002595,0.9985
lfp_transformer,3,6,0.002014,0.002290,0.9988
lfp_transformer,3,7,0.002011,0.002227,0.9987
lfp_transformer,3,8,0.001848,0.002367,0.9989
lfp_transformer,3,9,0.002195,0.002274,0.9987
lfp_transformer,3,10,0.001991,0.002153,0.9987
lfp_transformer,3,11,0.001881,0.002118,0.9989
lfp_transformer,3,12,0.001827,0.002314,0.9987
lfp_transformer,3,13,0.002018,0.002147,0.9989
lfp_transformer,3,14,0.002102,0.002392,0.9989
lfp_transformer,3,15,0.001932,0.002107,0.9990
lfp_transformer,3,16,0.001747,0.002320,0.9989
lfp_transformer,3,17,0.001766,0.002083,0.9990
lfp_transformer,3,18,0.001808,0.002146,0.9990
lfp_transformer,4,0,0.008714,0.004524,0.9986
lfp_transformer,4,1,0.003935,0.002450,0.9986
lfp_transformer,4,2,0.002619,0.002213,0.9987
lfp_transformer,4,3,0.002837,0.002230,0.9989
lfp_transformer,4,4,0.002171,0.002134,0.9990
lfp_transformer,4,5,0.002162,0.001987,0.9990
lfp_transformer,4,6,0.002012,0.002008,0.9991
lfp_transformer,4,7,0.002704,0.002140,0.9990
lfp_transformer,4,8,0.002003,0.001929,0.9991
lfp_transformer,4,9,0.002960,0.002253,0.9989
lfp_transformer,4,10,0.001975,0.001967,0.9991
lfp_transformer,4,11,0.001908,0.002016,0.9989
lfp_transformer,4,12,0.002019,0.002068,0.9991
lfp_transformer,4,13,0.002407,0.002028,0.9990
lfp_transformer,4,14,0.001873,0.002341,0.9990
lfp_transformer,4,15,0.001825,0.002104,0.9989
lfp_transformer,4,16,0.001783,0.002033,0.9991
lfp_transformer,4,17,0.001877,0.002024,0.9991
lfp_transformer,4,18,0.001723,0.001880,0.9992
lfp_transformer,4,19,0.001721,0.002132,0.9989
lfp_transformer,4,20,0.001790,0.002042,0.9991
lfp_transformer,4,21,0.001708,0.001955,0.9991
lfp_transformer,4,22,0.001699,0.002122,0.9990
lfp_transformer,4,23,0.001597,0.002091,0.9992
lfp_transformer,4,24,0.001501,0.002445,0.9991
lfp_transformer,4,25,0.001437,0.002218,0.9988
lfp_transformer,4,26,0.001695,0.001705,0.9994
lfp_transformer,4,27,0.001424,0.001884,0.9994
lfp_transformer,4,28,0.001348,0.001807,0.9994
lfp_transformer,4,29,0.001140,0.002063,0.9994
lfp_transformer,4,30,0.001020,0.001723,0.9996
lfp_transformer,4,31,0.001044,0.002322,0.9995
lfp_transformer,4,32,0.000930,0.002021,0.9995
lfp_transformer,4,33,0.000858,0.001655,0.9997
lfp_transformer,4,34,0.000717,0.002195,0.9996
lfp_transformer,4,35,0.000674,0.001978,0.9996
lfp_transformer,4,36,0.000726,0.001652,0.9997
lfp_transformer,4,37,0.000618,0.001902,0.9997
lfp_transformer,4,38,0.000595,0.001745,0.9997
lfp_transformer,4,39,0.000531,0.001809,0.9997
lfp_transformer,4,40,0.000457,0.001932,0.9997
lfp_transformer,4,41,0.000375,0.001972,0.9997
lfp_transformer,4,42,0.000485,0.001831,0.9997
lfp_transformer,4,43,0.000379,0.002008,0.9997
lfp_transformer,4,44,0.000337,0.002044,0.9997
lfp_transformer,4,45,0.000319,0.001976,0.9997
lfp_transformer,4,46,0.000426,0.001779,0.9997
lfp_transformer,4,47,0.000299,0.001749,0.9998
lfp_transformer,4,48,0.000295,0.001774,0.9998
lfp_transformer,4,49,0.000300,0.001784,0.9998
lfp_transformer,4,50,0.000331,0.001784,0.9998
lfp_transformer,4,51,0.000366,0.001774,0.9998
lfp_transformer,4,52,0.000283,0.001795,0.9998
lfp_transformer,4,53,0.000346,0.001913,0.9997
lfp_transformer,4,54,0.000311,0.001830,0.9998
lfp_transformer,4,55,0.000398,0.001939,0.9997
lfp_transformer,4,56,0.000362,0.002056,0.9998
lfp_transformer,4,57,0.000281,0.001938,0.9998
lfp_transformer,4,58,0.000373,0.001986,0.9998
lfp_transformer,4,59,0.000345,0.001818,0.9998
lfp_transformer,4,60,0.000306,0.002101,0.9998
lfp_transformer,4,61,0.000347,0.001967,0.9998
lfp_transformer,4,62,0.000493,0.002163,0.9997
lfp_transformer,4,63,0.000332,0.002095,0.9998
lfp_transformer,4,64,0.000513,0.001718,0.9998
lfp_transformer,4,65,0.000354,0.001790,0.9998
lfp_transformer,4,66,0.000384,0.002327,0.9998
lfp_transformer,4,67,0.000348,0.001526,0.9998
lfp_transformer,4,68,0.000418,0.002406,0.9998
lfp_transformer,4,69,0.000407,0.001574,0.9998
lfp_transformer,4,70,0.000380,0.002790,0.9997
lfp_transformer,4,71,0.001095,0.001561,0.9998
lfp_transformer,4,72,0.000331,0.001783,0.9998
lfp_transformer,4,73,0.000624,0.001381,0.9998
lfp_transformer,4,74,0.000546,0.001263,0.9998
lfp_transformer,4,75,0.000281,0.002681,0.9998
lfp_transformer,4,76,0.000790,0.001497,0.9998
lfp_transformer,4,77,0.000442,0.001608,0.9998
lfp_transformer,4,78,0.000672,0.001612,0.9998
lfp_transformer,4,79,0.000667,0.001670,0.9998
lfp_transformer,4,80,0.000445,0.001041,0.9999
lfp_transformer,4,81,0.000698,0.001306,0.9998
lfp_transformer,4,82,0.000566,0.001512,0.9998
lfp_transformer,4,83,0.000646,0.001754,0.9997
lfp_transformer,4,84,0.000605,0.001145,0.9998
lfp_transformer,4,85,0.000375,0.002042,0.9997
lfp_transformer,4,86,0.000821,0.002069,0.9996
lfp_transformer,4,87,0.000720,0.001358,0.9997
lfp_transformer,4,88,0.000541,0.001426,0.9998
lfp_transformer,4,89,0.000546,0.001901,0.9996
lfp_transformer,4,90,0.000725,0.002054,0.9998
lfp_transformer,4,91,0.000491,0.002863,0.9995
lfp_transformer,4,92,0.000776,0.004705,0.9991
lfp_transformer,4,93,0.001223,0.001998,0.9996
lfp_transformer,4,94,0.000438,0.001640,0.9998
lfp_transformer,4,95,0.000362,0.001221,0.9998
fusion,0,10,0.098898,0.065763,1.0000
fusion,0,11,0.068644,0.178823,0.9952
fusion,0,12,0.065126,0.051931,1.0000
fusion,0,13,0.071960,0.037337,1.0000
fusion,0,14,0.056972,0.114258,1.0000
fusion,0,15,0.046390,0.064316,1.0000
fusion,0,16,0.037280,0.044655,1.0000
fusion,0,17,0.047311,0.064660,1.0000
fusion,0,18,0.041739,0.060985,1.0000
fusion,0,19,0.037555,0.094119,1.0000
fusion,0,20,0.043374,0.085216,1.0000
fusion,0,21,0.040450,0.073264,1.0000
fusion,0,22,0.038415,0.073618,1.0000
fusion,0,23,0.043434,0.044296,1.0000
fusion,0,24,0.035235,0.061730,1.0000
fusion,0,25,0.037186,0.047483,1.0000
